,日期,小时,温度(C°),湿度(%),降雨量(mm),大气压(hPa),风向,风向角度(°),风速(KM/H),云量(%)
CN101190801,2013/12/3,16,11,63,0.3,1021,东北风,14,10,0
CN101190801,2013/12/3,17,11,65,0.2,1022,东北风,13,8,0
CN101190801,2013/12/3,18,10,64,0.1,1022,东南风,127,8,0
CN101190801,2013/12/3,19,10,63,0.1,1023,西南风,240,8,0
CN101190801,2013/12/3,20,9,62,0,1023,北风,354,8,0
CN101190801,2013/12/3,21,9,61,0,1024,西北风,348,8,0
CN101190801,2013/12/3,22,9,61,0,1024,西北风,343,7,0
CN101190801,2013/12/3,23,9,61,0,1024,西北风,337,7,0
CN101190801,2013/12/4,0,9,60,0,1024,西北风,335,6,0
CN101190801,2013/12/4,1,9,59,0,1024,西北风,332,4,0
CN101190801,2013/12/4,2,10,58,0,1024,西北风,330,3,0
CN101190801,2013/12/4,3,9,58,0,1024,西北风,319,4,0
CN101190801,2013/12/4,4,9,59,0,1024,西北风,308,5,0
CN101190801,2013/12/4,5,8,59,0,1024,西北风,297,5,0
CN101190801,2013/12/4,6,8,58,0,1024,西北风,288,5,0
CN101190801,2013/12/4,7,9,58,0,1024,西风,279,5,0
CN101190801,2013/12/4,8,9,57,0,1024,西风,271,5,0
CN101190801,2013/12/4,9,11,51,0,1024,西风,261,6,0
CN101190801,2013/12/4,10,13,45,0,1024,西南风,251,6,0
CN101190801,2013/12/4,11,15,39,0,1024,西南风,241,6,1
CN101190801,2013/12/4,12,16,36,0,1023,西南风,234,7,4
CN101190801,2013/12/4,13,17,34,0,1022,西南风,227,8,66
CN101190801,2013/12/4,14,19,32,0,1022,西南风,219,8,99
CN101190801,2013/12/4,15,17,35,0,1022,西南风,213,8,100
CN101190801,2013/12/4,16,15,39,0,1022,西南风,207,8,100
CN101190801,2013/12/4,17,13,42,0,1022,西南风,201,8,100
CN101190801,2013/12/4,18,12,43,0,1022,西南风,198,9,99
CN101190801,2013/12/4,19,11,43,0,1022,西南风,196,9,100
CN101190801,2013/12/4,20,10,44,0,1022,西南风,193,10,100
CN101190801,2013/12/4,21,9,44,0,1022,西南风,192,10,100
CN101190801,2013/12/4,22,9,45,0,1022,西南风,192,11,100
CN101190801,2013/12/4,23,9,45,0,1022,西南风,191,11,99
CN101190801,2013/12/5,0,9,47,0,1021,西南风,194,11,62
CN101190801,2013/12/5,1,8,50,0,1021,西南风,196,11,86
CN101190801,2013/12/5,2,8,53,0,1021,西南风,199,12,98
CN101190801,2013/12/5,3,8,55,0,1021,西南风,201,12,99
CN101190801,2013/12/5,4,8,56,0,1020,西南风,204,12,95
CN101190801,2013/12/5,5,8,58,0,1020,西南风,207,12,95
CN101190801,2013/12/5,6,8,60,0,1020,西南风,213,12,93
CN101190801,2013/12/5,7,8,61,0,1020,西南风,219,11,77
CN101190801,2013/12/5,8,9,63,0,1020,西南风,226,11,55
CN101190801,2013/12/5,9,10,59,0,1020,西南风,240,11,25
CN101190801,2013/12/5,10,11,55,0,1020,西南风,254,12,2
CN101190801,2013/12/5,11,12,52,0,1021,西风,268,13,9
CN101190801,2013/12/5,12,13,50,0,1020,西北风,286,13,12
CN101190801,2013/12/5,13,14,48,0,1020,西北风,304,14,9
CN101190801,2013/12/5,14,14,46,0,1020,西北风,322,15,2
CN101190801,2013/12/5,15,13,49,0,1020,西北风,329,14,0
CN101190801,2013/12/5,16,12,52,0,1020,西北风,336,13,0
CN101190801,2013/12/5,17,11,56,0,1020,西北风,342,13,0
CN101190801,2013/12/5,18,11,58,0,1021,西南风,232,13,0
CN101190801,2013/12/5,19,10,60,0,1022,东南风,121,14,0
CN101190801,2013/12/5,20,9,63,0,1022,北风,10,15,0
CN101190801,2013/12/5,21,9,65,0,1023,东北风,18,15,0
CN101190801,2013/12/5,22,8,67,0,1023,东北风,27,15,0
CN101190801,2013/12/5,23,7,69,0,1023,东北风,35,14,0
CN101190801,2013/12/6,0,7,70,0,1023,东北风,36,13,0
CN101190801,2013/12/6,1,7,72,0,1023,东北风,37,11,0
CN101190801,2013/12/6,2,7,73,0,1023,东北风,37,9,0
CN101190801,2013/12/6,3,6,73,0,1023,东北风,43,8,0
CN101190801,2013/12/6,4,6,73,0,1023,东北风,50,7,0
CN101190801,2013/12/6,5,6,73,0,1023,东北风,56,6,0
CN101190801,2013/12/6,6,6,71,0,1023,东北风,69,6,3
CN101190801,2013/12/6,7,6,69,0,1024,东风,83,5,0
CN101190801,2013/12/6,8,7,67,0,1024,东风,96,5,0
CN101190801,2013/12/6,9,8,61,0,1024,东南风,114,5,0
CN101190801,2013/12/6,10,9,55,0,1024,东南风,132,4,0
CN101190801,2013/12/6,11,11,49,0,1024,东南风,150,4,0
CN101190801,2013/12/6,12,12,47,0,1023,东南风,169,5,0
CN101190801,2013/12/6,13,13,46,0,1023,南风,188,6,0
CN101190801,2013/12/6,14,14,44,0,1022,西南风,207,6,0
CN101190801,2013/12/6,15,13,48,0,1022,西南风,207,6,0
CN101190801,2013/12/6,16,13,52,0,1022,西南风,207,6,0
CN101190801,2013/12/6,17,12,56,0,1022,西南风,207,5,0
CN101190801,2013/12/6,18,12,58,0,1022,西南风,203,6,0
CN101190801,2013/12/6,19,11,60,0,1022,西南风,199,6,0
CN101190801,2013/12/6,20,10,61,0,1023,西南风,196,6,0
CN101190801,2013/12/6,21,10,63,0,1023,西南风,195,7,0
CN101190801,2013/12/6,22,9,64,0,1023,西南风,194,7,0
CN101190801,2013/12/6,23,9,66,0,1023,西南风,194,7,0
CN101190801,2013/12/7,0,9,68,0,1023,西南风,195,7,76
CN101190801,2013/12/7,1,8,69,0,1023,西南风,196,7,82
CN101190801,2013/12/7,2,8,71,0,1023,西南风,197,7,45
CN101190801,2013/12/7,3,8,74,0,1023,西南风,195,6,2
CN101190801,2013/12/7,4,7,76,0,1022,西南风,193,6,9
CN101190801,2013/12/7,5,7,79,0,1022,西南风,192,5,57
CN101190801,2013/12/7,6,6,78,0,1022,南风,186,6,80
CN101190801,2013/12/7,7,6,76,0,1023,南风,181,6,79
CN101190801,2013/12/7,8,6,74,0,1024,南风,176,6,37
CN101190801,2013/12/7,9,8,67,0,1024,南风,174,7,18
CN101190801,2013/12/7,10,10,60,0,1024,南风,173,8,0
CN101190801,2013/12/7,11,11,54,0,1024,南风,171,8,0
CN101190801,2013/12/7,12,12,50,0,1023,南风,174,8,0
CN101190801,2013/12/7,13,13,47,0,1022,南风,177,8,0
CN101190801,2013/12/7,14,14,43,0,1021,南风,180,8,0
CN101190801,2013/12/7,15,14,48,0,1021,东南风,167,8,0
CN101190801,2013/12/7,16,14,52,0,1021,东南风,153,7,0
CN101190801,2013/12/7,17,14,56,0,1021,东南风,139,7,0
CN101190801,2013/12/7,18,13,59,0,1021,东南风,136,8,0
CN101190801,2013/12/7,19,12,61,0,1022,东南风,133,9,0
CN101190801,2013/12/7,20,11,64,0,1022,东南风,130,10,0
CN101190801,2013/12/7,21,10,67,0,1022,东南风,134,10,0
CN101190801,2013/12/7,22,10,70,0,1022,东南风,138,10,0
CN101190801,2013/12/7,23,9,73,0,1022,东南风,143,10,0
CN101190801,2013/12/8,0,9,78,0,1021,东南风,138,10,5
CN101190801,2013/12/8,1,8,84,0,1021,东南风,133,10,35
CN101190801,2013/12/8,2,8,90,0,1020,东南风,129,9,64
CN101190801,2013/12/8,3,7,91,0,1020,东南风,129,9,99
CN101190801,2013/12/8,4,6,92,0,1020,东南风,129,9,96
CN101190801,2013/12/8,5,5,93,0,1019,东南风,129,8,94
CN101190801,2013/12/8,6,6,92,0,1019,东南风,126,8,99
CN101190801,2013/12/8,7,6,92,0,1020,东南风,123,8,99
CN101190801,2013/12/8,8,6,92,0,1020,东南风,121,8,94
CN101190801,2013/12/8,9,8,85,0,1020,东南风,118,7,97
CN101190801,2013/12/8,10,9,77,0,1020,东南风,116,6,84
CN101190801,2013/12/8,11,11,69,0,1020,东南风,113,5,70
CN101190801,2013/12/8,12,12,64,0,1019,东南风,111,5,63
CN101190801,2013/12/8,13,14,59,0,1018,东南风,108,4,76
CN101190801,2013/12/8,14,15,54,0,1018,东南风,106,4,88
CN101190801,2013/12/8,15,14,58,0,1018,东北风,71,3,99
CN101190801,2013/12/8,16,13,63,0,1018,东北风,37,2,99
CN101190801,2013/12/8,17,12,68,0,1018,北风,3,1,100
CN101190801,2013/12/8,18,11,67,0,1018,东南风,118,4,100
CN101190801,2013/12/8,19,10,67,0,1018,西南风,234,6,100
CN101190801,2013/12/8,20,10,66,0,1019,北风,349,9,98
CN101190801,2013/12/8,21,9,68,0,1019,西北风,342,10,98
CN101190801,2013/12/8,22,9,69,0,1019,西北风,336,11,64
CN101190801,2013/12/8,23,8,70,0,1020,西北风,329,12,1
CN101190801,2013/12/9,0,7,73,0,1020,西北风,327,15,0
CN101190801,2013/12/9,1,6,76,0.1,1020,西北风,326,17,0
CN101190801,2013/12/9,2,5,79,0.1,1020,西北风,324,20,0
CN101190801,2013/12/9,3,5,79,0.2,1021,西北风,331,19,0
CN101190801,2013/12/9,4,5,78,0.2,1021,西北风,339,19,0
CN101190801,2013/12/9,5,5,78,0.3,1021,西北风,346,18,0
CN101190801,2013/12/9,6,5,72,0.2,1022,西北风,342,18,0
CN101190801,2013/12/9,7,4,65,0.1,1023,西北风,339,19,0
CN101190801,2013/12/9,8,4,59,0,1023,西北风,335,19,0
CN101190801,2013/12/9,9,5,50,0,1024,西北风,336,22,0
CN101190801,2013/12/9,10,5,40,0,1025,西北风,338,24,0
CN101190801,2013/12/9,11,6,31,0,1025,西北风,339,26,0
CN101190801,2013/12/9,12,6,30,0,1025,西北风,338,26,0
CN101190801,2013/12/9,13,7,29,0,1024,西北风,336,25,0
CN101190801,2013/12/9,14,7,28,0,1024,西北风,334,25,0
CN101190801,2013/12/9,15,7,31,0,1024,西北风,334,21,0
CN101190801,2013/12/9,16,7,33,0,1024,西北风,334,17,0
CN101190801,2013/12/9,17,6,35,0,1025,西北风,334,14,0
CN101190801,2013/12/9,18,6,37,0,1025,西北风,334,12,0
CN101190801,2013/12/9,19,6,39,0,1025,西北风,334,11,0
CN101190801,2013/12/9,20,6,41,0,1025,西北风,333,9,0
CN101190801,2013/12/9,21,5,42,0,1025,西北风,338,8,0
CN101190801,2013/12/9,22,5,43,0,1025,西北风,343,7,0
CN101190801,2013/12/9,23,4,43,0,1025,西北风,348,6,0
CN101190801,2013/12/10,0,4,44,0,1025,西北风,325,5,0
CN101190801,2013/12/10,1,4,45,0,1024,西北风,303,4,0
CN101190801,2013/12/10,2,4,45,0,1024,西北风,281,2,0
CN101190801,2013/12/10,3,4,43,0,1024,西风,262,3,0
CN101190801,2013/12/10,4,4,41,0,1024,西南风,242,5,0
CN101190801,2013/12/10,5,3,39,0,1024,西南风,223,6,8
CN101190801,2013/12/10,6,4,39,0,1023,西南风,219,5,45
CN101190801,2013/12/10,7,4,38,0,1023,西南风,215,5,80
CN101190801,2013/12/10,8,5,38,0,1023,西南风,211,5,75
CN101190801,2013/12/10,9,6,34,0,1023,西南风,207,5,81
CN101190801,2013/12/10,10,6,30,0,1023,西南风,203,6,93
CN101190801,2013/12/10,11,7,26,0,1023,西南风,199,6,97
CN101190801,2013/12/10,12,7,25,0,1022,西南风,210,8,98
CN101190801,2013/12/10,13,8,25,0,1021,西南风,221,10,81
CN101190801,2013/12/10,14,9,24,0,1020,西南风,232,12,83
CN101190801,2013/12/10,15,8,27,0,1020,西南风,241,11,9
CN101190801,2013/12/10,16,8,30,0,1020,西南风,250,10,0
CN101190801,2013/12/10,17,7,34,0,1020,西风,259,9,0
CN101190801,2013/12/10,18,7,36,0,1020,西风,268,10,0
CN101190801,2013/12/10,19,6,39,0,1021,西风,277,11,0
CN101190801,2013/12/10,20,5,41,0,1021,西北风,285,12,0
CN101190801,2013/12/10,21,5,43,0,1022,西北风,302,14,0
CN101190801,2013/12/10,22,4,45,0,1023,西北风,319,16,0
CN101190801,2013/12/10,23,3,47,0,1024,西北风,336,18,0
CN101190801,2013/12/11,0,3,48,0,1024,西北风,340,17,0
CN101190801,2013/12/11,1,3,48,0,1024,西北风,343,17,0
CN101190801,2013/12/11,2,3,49,0,1024,西北风,347,16,0
CN101190801,2013/12/11,3,3,48,0,1025,西北风,345,14,0
CN101190801,2013/12/11,4,2,47,0,1025,西北风,344,11,0
CN101190801,2013/12/11,5,2,46,0,1025,西北风,343,9,0
CN101190801,2013/12/11,6,3,44,0,1026,西北风,335,8,0
CN101190801,2013/12/11,7,3,42,0,1026,西北风,327,8,0
CN101190801,2013/12/11,8,4,40,0,1026,西北风,319,7,0
CN101190801,2013/12/11,9,5,36,0,1026,西北风,311,7,0
CN101190801,2013/12/11,10,6,31,0,1027,西北风,303,8,0
CN101190801,2013/12/11,11,7,27,0,1027,西北风,294,8,0
CN101190801,2013/12/11,12,8,25,0,1026,西北风,289,8,0
CN101190801,2013/12/11,13,8,24,0,1025,西北风,284,9,0
CN101190801,2013/12/11,14,9,23,0,1024,西风,278,9,0
CN101190801,2013/12/11,15,9,25,0,1024,西风,263,8,0
CN101190801,2013/12/11,16,8,28,0,1024,西南风,247,8,0
CN101190801,2013/12/11,17,8,30,0,1023,西南风,231,7,0
CN101190801,2013/12/11,18,7,31,0,1023,西南风,224,8,0
CN101190801,2013/12/11,19,6,32,0,1023,西南风,217,9,0
CN101190801,2013/12/11,20,6,32,0,1023,西南风,210,10,0
CN101190801,2013/12/11,21,5,33,0,1023,西南风,211,11,0
CN101190801,2013/12/11,22,4,34,0,1022,西南风,212,11,2
CN101190801,2013/12/11,23,3,35,0,1022,西南风,213,12,60
CN101190801,2013/12/12,0,3,36,0,1022,西南风,212,12,90
CN101190801,2013/12/12,1,3,37,0,1021,西南风,211,12,82
CN101190801,2013/12/12,2,3,38,0,1021,西南风,211,13,57
CN101190801,2013/12/12,3,2,39,0,1021,西南风,213,13,65
CN101190801,2013/12/12,4,1,41,0,1020,西南风,215,14,74
CN101190801,2013/12/12,5,1,42,0,1020,西南风,217,14,77
CN101190801,2013/12/12,6,1,43,0,1020,西南风,220,14,68
CN101190801,2013/12/12,7,1,43,0,1020,西南风,224,13,40
CN101190801,2013/12/12,8,2,43,0,1020,西南风,227,13,0
CN101190801,2013/12/12,9,3,40,0,1020,西南风,239,13,11
CN101190801,2013/12/12,10,5,36,0,1020,西南风,251,13,33
CN101190801,2013/12/12,11,7,32,0,1021,西风,262,13,8
CN101190801,2013/12/12,12,8,30,0,1020,西风,276,12,0
CN101190801,2013/12/12,13,9,28,0,1020,西北风,289,12,0
CN101190801,2013/12/12,14,10,27,0,1020,西北风,303,12,0
CN101190801,2013/12/12,15,9,30,0,1020,西南风,203,12,0
CN101190801,2013/12/12,16,8,33,0,1021,东南风,103,12,0
CN101190801,2013/12/12,17,8,36,0,1021,北风,4,11,0
CN101190801,2013/12/12,18,7,38,0,1022,东北风,18,12,0
CN101190801,2013/12/12,19,5,40,0,1023,东北风,31,13,0
CN101190801,2013/12/12,20,4,42,0,1024,东北风,45,14,0
CN101190801,2013/12/12,21,3,45,0,1025,东北风,54,16,0
CN101190801,2013/12/12,22,2,47,0,1026,东北风,62,18,0
CN101190801,2013/12/12,23,0,50,0,1027,东北风,71,19,0
CN101190801,2013/12/13,0,1,52,0,1026,东北风,76,18,0
CN101190801,2013/12/13,1,1,55,0,1026,东风,80,16,0
CN101190801,2013/12/13,2,1,58,0,1026,东风,85,14,0
CN101190801,2013/12/13,3,1,58,0,1026,东风,86,13,0
CN101190801,2013/12/13,4,1,58,0,1026,东风,87,13,0
CN101190801,2013/12/13,5,0,59,0,1026,东风,87,12,0
CN101190801,2013/12/13,6,1,56,0,1027,东风,88,12,0
CN101190801,2013/12/13,7,1,53,0,1027,东风,90,12,0
CN101190801,2013/12/13,8,2,51,0,1028,东风,91,12,0
CN101190801,2013/12/13,9,3,46,0,1029,东风,94,12,0
CN101190801,2013/12/13,10,4,41,0,1029,东风,96,12,0
CN101190801,2013/12/13,11,6,36,0,1029,东风,99,12,0
CN101190801,2013/12/13,12,7,36,0,1028,东南风,106,11,0
CN101190801,2013/12/13,13,8,35,0,1027,东南风,113,10,0
CN101190801,2013/12/13,14,9,35,0,1027,东南风,119,9,0
CN101190801,2013/12/13,15,8,39,0,1026,东南风,122,9,0
CN101190801,2013/12/13,16,8,42,0,1026,东南风,125,9,0
CN101190801,2013/12/13,17,8,46,0,1026,东南风,128,8,0
CN101190801,2013/12/13,18,7,49,0,1026,东南风,132,9,0
CN101190801,2013/12/13,19,6,51,0,1027,东南风,136,9,0
CN101190801,2013/12/13,20,5,54,0,1027,东南风,139,9,0
CN101190801,2013/12/13,21,5,57,0,1027,东南风,144,9,0
CN101190801,2013/12/13,22,5,61,0,1027,东南风,150,8,0
CN101190801,2013/12/13,23,4,64,0,1028,东南风,155,8,0
CN101190801,2013/12/14,0,4,67,0,1027,东南风,159,7,0
CN101190801,2013/12/14,1,4,71,0,1027,东南风,163,6,0
CN101190801,2013/12/14,2,4,74,0,1027,东南风,167,6,0
CN101190801,2013/12/14,3,4,75,0,1027,东南风,166,6,0
CN101190801,2013/12/14,4,4,76,0,1027,东南风,164,5,1
CN101190801,2013/12/14,5,4,77,0,1027,东南风,162,5,3
CN101190801,2013/12/14,6,4,75,0,1027,东南风,165,5,3
CN101190801,2013/12/14,7,5,74,0,1027,东南风,168,5,11
CN101190801,2013/12/14,8,5,72,0,1028,南风,171,5,92
CN101190801,2013/12/14,9,7,65,0,1028,南风,178,5,95
CN101190801,2013/12/14,10,8,59,0,1029,南风,184,5,96
CN101190801,2013/12/14,11,10,52,0,1029,南风,190,5,95
CN101190801,2013/12/14,12,10,48,0,1029,西南风,237,5,100
CN101190801,2013/12/14,13,11,43,0,1028,西北风,284,5,100
CN101190801,2013/12/14,14,12,39,0,1028,西北风,331,6,100
CN101190801,2013/12/14,15,10,44,0,1028,西南风,239,5,100
CN101190801,2013/12/14,16,9,49,0,1028,东南风,147,4,100
CN101190801,2013/12/14,17,7,53,0,1028,东北风,55,4,100
CN101190801,2013/12/14,18,6,55,0,1028,东北风,59,4,100
CN101190801,2013/12/14,19,6,56,0,1029,东北风,62,4,100
CN101190801,2013/12/14,20,5,57,0,1030,东北风,66,4,100
CN101190801,2013/12/14,21,5,57,0,1030,东北风,56,5,100
CN101190801,2013/12/14,22,4,57,0,1030,东北风,47,6,100
CN101190801,2013/12/14,23,4,57,0,1031,东北风,38,6,99
CN101190801,2013/12/15,0,4,59,0,1031,东北风,52,7,97
CN101190801,2013/12/15,1,4,61,0,1031,东北风,66,7,100
CN101190801,2013/12/15,2,4,63,0,1030,东风,80,7,99
CN101190801,2013/12/15,3,4,62,0,1031,东北风,78,8,96
CN101190801,2013/12/15,4,4,62,0,1031,东北风,75,9,87
CN101190801,2013/12/15,5,4,61,0,1031,东北风,73,9,99
CN101190801,2013/12/15,6,4,61,0,1031,东北风,76,10,100
CN101190801,2013/12/15,7,4,61,0,1032,东北风,78,10,100
CN101190801,2013/12/15,8,4,60,0,1032,东风,81,10,100
CN101190801,2013/12/15,9,5,56,0,1032,东风,82,11,100
CN101190801,2013/12/15,10,6,51,0,1032,东风,83,12,100
CN101190801,2013/12/15,11,7,46,0,1032,东风,84,13,100
CN101190801,2013/12/15,12,8,44,0,1032,东风,85,12,100
CN101190801,2013/12/15,13,9,41,0,1031,东风,87,12,100
CN101190801,2013/12/15,14,10,38,0,1031,东风,88,11,100
CN101190801,2013/12/15,15,9,39,0,1031,东风,82,11,100
CN101190801,2013/12/15,16,9,41,0,1031,东北风,77,10,100
CN101190801,2013/12/15,17,8,42,0,1032,东北风,71,9,100
CN101190801,2013/12/15,18,8,42,0,1032,东北风,71,10,100
CN101190801,2013/12/15,19,7,43,0,1032,东北风,71,10,100
CN101190801,2013/12/15,20,6,43,0,1032,东北风,71,11,100
CN101190801,2013/12/15,21,6,44,0,1032,东风,81,11,100
CN101190801,2013/12/15,22,5,45,0,1033,东风,91,10,100
CN101190801,2013/12/15,23,5,46,0,1033,东风,101,10,100
CN101190801,2013/12/16,0,5,48,0,1033,东南风,105,10,100
CN101190801,2013/12/16,1,5,51,0,1032,东南风,110,10,100
CN101190801,2013/12/16,2,5,53,0,1032,东南风,114,10,100
CN101190801,2013/12/16,3,4,55,0,1032,东南风,112,10,100
CN101190801,2013/12/16,4,4,57,0,1031,东南风,111,10,100
CN101190801,2013/12/16,5,4,59,0,1031,东南风,109,10,100
CN101190801,2013/12/16,6,4,60,0,1031,东南风,105,10,100
CN101190801,2013/12/16,7,4,62,0,1031,东风,101,10,100
CN101190801,2013/12/16,8,5,63,0,1031,东风,97,9,100
CN101190801,2013/12/16,9,6,59,0,1031,东南风,103,10,100
CN101190801,2013/12/16,10,7,55,0,1031,东南风,110,10,100
CN101190801,2013/12/16,11,8,51,0,1031,东南风,116,10,100
CN101190801,2013/12/16,12,8,48,0,1030,东南风,119,9,100
CN101190801,2013/12/16,13,9,46,0,1029,东南风,121,8,100
CN101190801,2013/12/16,14,10,44,0,1028,东南风,123,7,100
CN101190801,2013/12/16,15,10,46,0,1028,东南风,115,6,100
CN101190801,2013/12/16,16,10,48,0,1028,东南风,107,6,100
CN101190801,2013/12/16,17,10,51,0,1028,东风,99,5,100
CN101190801,2013/12/16,18,8,52,0,1028,东南风,102,6,99
CN101190801,2013/12/16,19,7,53,0,1028,东南风,105,7,97
CN101190801,2013/12/16,20,6,54,0,1028,东南风,108,8,95
CN101190801,2013/12/16,21,6,55,0,1028,东南风,112,8,97
CN101190801,2013/12/16,22,5,57,0,1028,东南风,116,9,100
CN101190801,2013/12/16,23,5,58,0,1029,东南风,120,9,100
CN101190801,2013/12/17,0,5,60,0,1028,东南风,117,8,99
CN101190801,2013/12/17,1,5,62,0,1028,东南风,113,7,92
CN101190801,2013/12/17,2,5,64,0,1028,东南风,109,6,90
CN101190801,2013/12/17,3,5,65,0,1028,东风,96,6,97
CN101190801,2013/12/17,4,4,66,0,1028,东风,83,7,93
CN101190801,2013/12/17,5,3,68,0,1029,东北风,70,8,93
CN101190801,2013/12/17,6,4,69,0,1029,东北风,70,8,86
CN101190801,2013/12/17,7,4,69,0,1029,东北风,69,9,82
CN101190801,2013/12/17,8,4,70,0,1029,东北风,69,9,64
CN101190801,2013/12/17,9,5,67,0,1029,东北风,68,9,42
CN101190801,2013/12/17,10,6,64,0,1029,东北风,68,10,22
CN101190801,2013/12/17,11,7,61,0,1029,东北风,67,10,14
CN101190801,2013/12/17,12,8,58,0,1028,东北风,63,10,13
CN101190801,2013/12/17,13,10,54,0,1028,东北风,60,10,13
CN101190801,2013/12/17,14,11,50,0,1027,东北风,57,10,18
CN101190801,2013/12/17,15,11,51,0,1027,东北风,49,9,13
CN101190801,2013/12/17,16,10,53,0,1028,东北风,42,9,17
CN101190801,2013/12/17,17,10,54,0,1028,东北风,34,9,14
CN101190801,2013/12/17,18,9,55,0,1028,东北风,36,9,15
CN101190801,2013/12/17,19,7,56,0,1029,东北风,38,8,19
CN101190801,2013/12/17,20,6,57,0,1029,东北风,40,8,31
CN101190801,2013/12/17,21,6,59,0,1029,东北风,36,7,37
CN101190801,2013/12/17,22,5,60,0,1030,东北风,32,7,45
CN101190801,2013/12/17,23,4,61,0,1030,东北风,28,6,53
CN101190801,2013/12/18,0,4,61,0,1030,东南风,135,7,67
CN101190801,2013/12/18,1,3,61,0,1030,西南风,242,8,83
CN101190801,2013/12/18,2,3,62,0,1030,西北风,348,9,95
CN101190801,2013/12/18,3,2,62,0,1030,北风,350,10,99
CN101190801,2013/12/18,4,1,63,0,1030,北风,351,10,100
CN101190801,2013/12/18,5,1,64,0,1030,北风,352,11,94
CN101190801,2013/12/18,6,1,64,0,1031,西南风,237,10,70
CN101190801,2013/12/18,7,1,64,0,1031,东南风,121,9,50
CN101190801,2013/12/18,8,1,65,0,1032,北风,6,8,24
CN101190801,2013/12/18,9,3,62,0,1032,北风,11,9,0
CN101190801,2013/12/18,10,4,59,0,1032,东北风,16,10,0
CN101190801,2013/12/18,11,5,56,0,1033,东北风,21,10,0
CN101190801,2013/12/18,12,6,55,0,1032,东北风,15,10,0
CN101190801,2013/12/18,13,6,55,0,1031,北风,9,10,0
CN101190801,2013/12/18,14,7,54,0,1030,北风,4,10,0
CN101190801,2013/12/18,15,6,55,0,1030,东南风,119,10,0
CN101190801,2013/12/18,16,5,57,0,1030,西南风,235,10,0
CN101190801,2013/12/18,17,5,59,0,1030,北风,350,10,0
CN101190801,2013/12/18,18,4,59,0,1030,北风,350,11,0
CN101190801,2013/12/18,19,4,58,0,1030,北风,349,11,0
CN101190801,2013/12/18,20,4,58,0,1030,西北风,349,12,0
CN101190801,2013/12/18,21,3,56,0,1031,北风,351,10,0
CN101190801,2013/12/18,22,3,54,0,1031,北风,354,9,0
CN101190801,2013/12/18,23,3,52,0,1031,北风,356,8,0
CN101190801,2013/12/19,0,3,50,0,1031,西北风,344,7,0
CN101190801,2013/12/19,1,3,49,0,1031,西北风,332,6,0
CN101190801,2013/12/19,2,3,47,0,1030,西北风,320,5,0
CN101190801,2013/12/19,3,2,45,0,1030,西北风,318,4,0
CN101190801,2013/12/19,4,2,44,0,1030,西北风,315,3,0
CN101190801,2013/12/19,5,2,43,0,1030,西北风,313,1,4
CN101190801,2013/12/19,6,2,42,0,1030,西北风,283,2,77
CN101190801,2013/12/19,7,2,40,0,1030,西南风,254,2,84
CN101190801,2013/12/19,8,2,39,0,1031,西南风,225,3,87
CN101190801,2013/12/19,9,3,35,0,1031,西南风,233,4,56
CN101190801,2013/12/19,10,4,32,0,1031,西南风,242,6,3
CN101190801,2013/12/19,11,5,28,0,1032,西南风,250,7,0
CN101190801,2013/12/19,12,5,28,0,1031,西风,265,8,0
CN101190801,2013/12/19,13,6,29,0,1030,西风,280,9,0
CN101190801,2013/12/19,14,7,29,0,1030,西北风,295,10,0
CN101190801,2013/12/19,15,6,34,0,1030,西北风,305,9,0
CN101190801,2013/12/19,16,6,40,0,1030,西北风,314,8,0
CN101190801,2013/12/19,17,5,46,0,1030,西北风,323,7,0
CN101190801,2013/12/19,18,4,48,0,1030,西北风,334,7,0
CN101190801,2013/12/19,19,4,50,0,1031,西北风,344,7,0
CN101190801,2013/12/19,20,4,52,0,1032,北风,355,8,0
CN101190801,2013/12/19,21,3,53,0,1032,西南风,238,8,0
CN101190801,2013/12/19,22,3,54,0,1032,东南风,121,8,0
CN101190801,2013/12/19,23,2,55,0,1032,北风,4,8,0
CN101190801,2013/12/20,0,2,59,0,1032,东南风,115,8,0
CN101190801,2013/12/20,1,2,62,0,1032,西南风,225,8,0
CN101190801,2013/12/20,2,2,66,0,1033,西北风,336,7,0
CN101190801,2013/12/20,3,2,64,0,1033,西北风,339,7,0
CN101190801,2013/12/20,4,1,62,0,1033,西北风,342,7,3
CN101190801,2013/12/20,5,1,61,0,1033,西北风,345,8,53
CN101190801,2013/12/20,6,1,58,0,1033,西南风,231,7,100
CN101190801,2013/12/20,7,1,56,0,1033,东南风,117,7,100
CN101190801,2013/12/20,8,2,54,0,1034,北风,3,6,100
CN101190801,2013/12/20,9,2,47,0,1034,北风,3,6,100
CN101190801,2013/12/20,10,3,40,0,1034,北风,2,5,100
CN101190801,2013/12/20,11,4,33,0,1035,北风,2,5,87
CN101190801,2013/12/20,12,4,30,0,1034,东南风,114,5,53
CN101190801,2013/12/20,13,5,28,0,1033,西南风,227,6,23
CN101190801,2013/12/20,14,5,25,0,1033,西北风,339,6,5
CN101190801,2013/12/20,15,4,28,0,1033,西北风,343,7,1
CN101190801,2013/12/20,16,3,31,0,1033,西北风,346,7,4
CN101190801,2013/12/20,17,2,34,0,1033,西北风,349,8,0
CN101190801,2013/12/20,18,1,34,0,1033,北风,352,8,0
